code,num,sub,in_main,in_pr,status,axis
ff.1.1,1,1,no,no,available,societa
ff.1.2,1,2,no,no,available,natura
ff.1.3,1,3,no,yes,used,natura
ff.1.4,1,4,no,yes,used,natura
ff.1.5,1,5,no,no,available,tecnologia
ff.1.6,1,6,no,no,available,natura
ff.2.1,2,1,no,yes,used,tecnologia
ff.2.2,2,2,no,yes,used,tecnologia
ff.2.3,2,3,no,no,available,societa
ff.2.4,2,4,no,no,available,tecnologia
ff.2.5,2,5,no,no,available,societa
ff.2.6,2,6,no,no,available,societa
ff.2.7,2,7,no,no,available,natura
ff.3.1,3,1,no,no,available,tecnologia
ff.3.2,3,2,no,no,available,tecnologia
ff.3.4,3,4,no,no,available,natura
ff.3.5,3,5,no,no,available,tecnologia
ff.3.6,3,6,no,no,available,tecnologia
ff.3.7,3,7,no,no,available,tecnologia
ff.4.1,4,1,yes,no,used,natura
ff.4.2,4,2,no,no,available,natura
ff.4.3,4,3,no,no,available,tecnologia
ff.4.4,4,4,no,no,available,tecnologia
ff.4.5,4,5,no,no,available,tecnologia
ff.5.1,5,1,no,yes,used,tecnologia
ff.5.2,5,2,no,no,available,tecnologia
ff.5.3,5,3,no,no,available,natura
ff.5.4,5,4,no,no,available,tecnologia
ff.5.5,5,5,no,no,available,societa
ff.5.6,5,6,no,no,available,natura
ff.6.2,6,2,no,no,available,natura
ff.6.3,6,3,no,no,available,natura
ff.6.1100,6,1100,no,no,available,natura
ff.7.4,7,4,no,no,available,natura
ff.7.5,7,5,no,no,available,societa
ff.7.6,7,6,no,no,available,natura
ff.7.7,7,7,no,no,available,societa
ff.8.1,8,1,no,no,available,societa
ff.8.2,8,2,no,no,available,natura
ff.8.3,8,3,no,no,available,tecnologia
ff.8.4,8,4,no,no,available,tecnologia
ff.8.5,8,5,no,yes,used,societa
ff.8.6,8,6,no,no,available,societa
ff.8.7,8,7,no,no,available,societa
ff.9.1,9,1,no,yes,used,tecnologia
ff.9.2,9,2,no,no,available,tecnologia
ff.9.3,9,3,no,no,available,societa
ff.9.4,9,4,no,no,available,tecnologia
ff.10.1,10,1,no,no,available,tecnologia
ff.10.2,10,2,no,no,available,tecnologia
ff.10.3,10,3,no,yes,used,tecnologia
ff.10.4,10,4,no,no,available,societa
ff.10.5,10,5,no,no,available,tecnologia
ff.11.1,11,1,no,no,available,natura
ff.11.2,11,2,no,no,available,natura
ff.11.3,11,3,no,no,available,tecnologia
ff.11.5,11,5,no,no,available,natura
ff.12.1,12,1,no,yes,used,societa
